"id";"transaction_id";"transaction_database_id";"item_id"
1;1;1;2
2;1;1;4
3;2;1;6
4;2;1;8
5;2;1;10
6;3;1;12
7;3;1;14
8;3;1;16
10;4;1;20
11;4;1;22
12;4;1;24
13;5;1;26
14;5;1;28
15;6;1;30
16;7;1;5
17;7;1;9
18;8;1;11
19;8;1;17
20;8;1;25
22;9;1;3
23;9;1;9
24;10;1;14
25;10;1;17
26;10;1;21
27;10;1;7
28;11;1;1
29;11;1;9
30;12;1;15
31;12;1;13
32;12;1;19
33;12;1;23
34;12;1;6
35;12;1;4
36;13;1;28
37;13;1;27
38;13;1;25
39;14;1;30
40;14;1;29
41;15;1;27
42;15;1;28
43;15;1;1
44;16;1;2
45;16;1;4
46;16;1;6
47;17;1;2
48;17;1;5
49;17;1;7
50;17;1;17
51;17;1;9
52;18;1;5
53;18;1;7
54;18;1;18
55;19;1;28
56;19;1;21
57;19;1;14
58;20;1;1
59;20;1;3
60;20;1;8
61;20;1;30
62;20;1;29
63;20;1;4
64;1;2;1
65;1;2;3
66;1;2;6
67;2;2;1
68;2;2;3
69;2;2;8
70;3;2;8
71;3;2;1
72;4;2;1
73;4;2;3
74;4;2;8
75;5;2;7
76;5;2;8
77;5;2;3
78;6;2;3
79;6;2;13
80;6;2;2
81;7;2;2
82;7;2;13
83;8;2;3
84;8;2;3
85;9;2;7
86;9;2;20
87;9;2;19
88;10;2;3
89;10;2;20
90;11;2;19
91;12;2;19
92;12;2;18
93;13;2;18
94;13;2;8
95;13;2;3
96;13;2;19
97;14;2;1
98;14;2;2
99;14;2;3
100;15;2;1
101;15;2;19
102;16;2;30
103;16;2;5
104;16;2;29
105;17;2;5
106;17;2;30
107;18;2;29
108;18;2;6
109;18;2;7
110;19;2;5
111;19;2;1
112;20;2;30
113;20;2;9
114;20;2;29
115;1;3;2
116;1;3;4
117;1;3;8
118;2;3;2
119;2;3;12
120;3;3;12
121;3;3;14
122;4;3;12
123;4;3;15
124;4;3;18
125;5;3;2
126;5;3;6
127;5;3;8
128;5;3;15
129;6;3;18
130;6;3;20
131;6;3;21
132;6;3;26
133;7;3;21
134;7;3;27
135;7;3;30
136;8;3;20
137;9;3;27
138;9;3;28
140;9;3;29
141;9;3;30
142;10;3;6
143;10;3;7
144;10;3;20
145;10;3;23
146;10;3;27
147;10;3;29
148;11;3;1
149;11;3;3
150;11;3;12
151;11;3;15
152;12;3;3
153;12;3;7
154;12;3;15
155;12;3;17
156;12;3;18
157;12;3;21
158;13;3;1
159;13;3;2
160;13;3;9
161;14;3;9
162;14;3;21
163;14;3;29
164;15;3;2
165;15;3;6
166;15;3;8
167;15;3;21
168;15;3;29
169;16;3;5
170;16;3;13
171;16;3;14
172;17;3;13
173;17;3;17
174;17;3;20
175;18;3;1
176;18;3;12
177;18;3;23
178;19;3;11
179;19;3;30
180;20;3;1
181;20;3;7
182;20;3;27
183;20;3;28
184;2;3;8
185;8;3;29
186;8;3;21
187;1;4;16
188;1;4;18
189;1;4;19
190;1;4;20
191;1;4;22
192;2;4;16
193;2;4;18
194;2;4;19
195;2;4;22
196;2;4;19
197;2;4;22
198;2;4;25
199;2;4;27
200;3;4;22
201;3;4;25
202;3;4;27
203;3;4;30
204;4;4;1
205;4;4;16
206;4;4;25
207;5;4;27
208;5;4;29
209;5;4;30
210;6;4;1
211;6;4;2
212;6;4;15
213;6;4;16
214;6;4;27
215;7;4;1
216;7;4;3
217;7;4;5
218;7;4;29
219;7;4;30
220;8;4;2
221;8;4;3
222;8;4;22
223;8;4;25
224;8;4;30
225;9;4;16
226;9;4;17
227;9;4;20
228;9;4;22
229;10;4;22
230;10;4;25
231;10;4;27
232;10;4;29
233;10;4;30
234;11;4;3
235;11;4;5
236;11;4;7
237;11;4;27
238;11;4;30
239;12;4;3
240;12;4;5
241;12;4;16
242;12;4;18
243;12;4;22
244;12;4;27
245;13;4;1
246;13;4;5
247;13;4;7
248;13;4;16
249;13;4;18
250;13;4;27
251;14;4;5
252;14;4;17
253;14;4;19
254;14;4;22
255;14;4;30
256;15;4;1
257;15;4;3
258;15;4;16
259;15;4;23
260;15;4;26
261;15;4;27
262;16;4;2
263;16;4;3
264;16;4;6
265;16;4;20
266;16;4;22
267;17;4;15
268;17;4;18
269;17;4;20
270;17;4;22
271;17;4;25
272;17;4;27
273;17;4;30
274;18;4;1
275;16;4;16
276;18;4;7
277;18;4;17
278;18;4;22
279;19;4;2
280;19;4;3
281;19;4;5
282;19;4;16
283;19;4;25
284;19;4;30
285;20;4;1
286;20;4;3
287;20;4;20
288;20;4;22
289;20;4;25
290;1;5;4
291;1;5;5
292;1;5;8
293;1;5;12
294;2;5;4
295;2;5;8
296;2;5;12
297;3;5;5
298;3;5;8
299;3;5;12
300;4;5;8
301;4;5;12
302;4;5;15
303;4;5;21
304;5;5;12
305;5;5;15
306;5;5;21
307;6;5;4
308;6;5;5
309;6;5;6
310;7;5;4
311;7;5;15
312;7;5;17
313;7;5;22
314;8;5;15
315;8;5;17
316;8;5;18
317;8;5;21
318;8;5;23
319;9;5;18
320;9;5;21
321;9;5;23
322;10;5;15
323;10;5;17
324;10;5;18
325;10;5;19
326;11;5;1
327;11;5;4
328;11;5;6
329;11;5;18
330;11;5;19
331;12;5;17
332;12;5;20
333;12;5;23
334;12;5;27
335;13;5;1
336;13;5;2
337;13;5;4
338;14;5;18
339;14;5;19
340;15;5;4
341;15;5;6
342;16;5;23
343;16;5;27
344;17;5;1
345;17;5;19
346;17;5;21
347;18;5;2
348;18;5;6
349;18;5;20
350;18;5;21
351;18;5;29
352;19;5;27
353;19;5;29
354;19;5;30
355;20;5;7
356;20;5;12
